who,what,when,where,sentences
David,carbonara,last summer,at the cafe,David ate carbonara last summer at the cafe.
Kimberly,cheese,this weekend,in the park,Kimberly ate cheese this weekend in the park.
Mary,cheese,this evening,in the office,Mary ate cheese this evening in the office.
Lauren,hot dog,two hours ago,at the cafe,Lauren ate hot dog two hours ago at the cafe.
Olivia,sandwich,last winter,at the mall,Olivia ate sandwich last winter at the mall.
Robert,spaghetti,this morning,at the mall,Robert ate spaghetti this morning at the mall.
Claire,carbonara,last summer,in the kitchen,Claire ate carbonara last summer in the kitchen.
Emily,banana,this morning,at the school,Emily ate banana this morning at the school.
Rachel,bread,last Friday,at the cafe,Rachel ate bread last Friday at the cafe.
Thomas,pizza,last Friday,at the restaurant,Thomas ate pizza last Friday at the restaurant.
Jessica,hot dog,last Friday,on the rooftop,Jessica ate hot dog last Friday on the rooftop.
Karen,beef,last Monday,at the cafe,Karen ate beef last Monday at the cafe.
Richard,nachos,lately,at the mall,Richard ate nachos lately at the mall.
Mark,sushi,recently,in the office,Mark ate sushi recently in the office.
Paul,steak,this afternoon,in the station,Paul ate steak this afternoon in the station.
Richard,falafel,last spring,in the station,Richard ate falafel last spring in the station.
Mary,wok,two hours ago,at the school,Mary ate wok two hours ago at the school.
Michael,cereal,last week,in the garden,Michael ate cereal last week in the garden.
Chris,hot dog,last Friday,in the station,Chris ate hot dog last Friday in the station.
Ben,banana,last year,at the mall,Ben ate banana last year at the mall.
Julia,risotto,last winter,in the kitchen,Julia ate risotto last winter in the kitchen.
Kimberly,tacos,one hour ago,in the office,Kimberly ate tacos one hour ago in the office.
Jason,nachos,last summer,in the park,Jason ate nachos last summer in the park.
Lauren,spaghetti,this weekend,in the office,Lauren ate spaghetti this weekend in the office.
Linda,noodle,last Monday,in the station,Linda ate noodle last Monday in the station.
Rachel,wok,this weekend,in the station,Rachel ate wok this weekend in the station.
Julia,cake,two hours ago,in the kitchen,Julia ate cake two hours ago in the kitchen.
Olivia,hot dog,today,in the office,Olivia ate hot dog today in the office.
William,apple pie,this weekend,in the station,William ate apple pie this weekend in the station.
Mary,pancakes,this afternoon,in the office,Mary ate pancakes this afternoon in the office.
Mary,nachos,last winter,in the kitchen,Mary ate nachos last winter in the kitchen.
Kimberly,ravioli,last Saturday,in the station,Kimberly ate ravioli last Saturday in the station.
Rachel,cheese,last summer,at the mall,Rachel ate cheese last summer at the mall.
Richard,curry,last night,at the school,Richard ate curry last night at the school.
Joseph,curry,one hour ago,in the kitchen,Joseph ate curry one hour ago in the kitchen.
Olivia,noodle,last month,in the garden,Olivia ate noodle last month in the garden.
Chris,sandwich,last fall,in the station,Chris ate sandwich last fall in the station.
Julia,hamburger,last winter,at the cafe,Julia ate hamburger last winter at the cafe.
Rachel,banana,this weekend,at the mall,Rachel ate banana this weekend at the mall.
Ethan,tacos,today,at the cafe,Ethan ate tacos today at the cafe.
Matthew,pancakes,last Friday,at the school,Matthew ate pancakes last Friday at the school.
Olivia,cereal,this evening,at the cafe,Olivia ate cereal this evening at the cafe.
Joseph,sandwich,last fall,in the office,Joseph ate sandwich last fall in the office.
Lauren,fried chicken,last Tuesday,on the rooftop,Lauren ate fried chicken last Tuesday on the rooftop.
Michael,potatoes,last fall,in the garden,Michael ate potatoes last fall in the garden.
Michael,salad,this morning,at the restaurant,Michael ate salad this morning at the restaurant.
Mark,carbonara,last Friday,in the garden,Mark ate carbonara last Friday in the garden.
Jessica,salad,lately,on the rooftop,Jessica ate salad lately on the rooftop.
Joseph,apple pie,last Saturday,on the rooftop,Joseph ate apple pie last Saturday on the rooftop.
Ben,pancakes,last Wednesday,in the station,Ben ate pancakes last Wednesday in the station.
Karen,cereal,this morning,at the restaurant,Karen ate cereal this morning at the restaurant.
Jennifer,salad,recently,at the school,Jennifer ate salad recently at the school.
Jessica,hamburger,last week,in the kitchen,Jessica ate hamburger last week in the kitchen.
Jason,toast,this afternoon,at the school,Jason ate toast this afternoon at the school.
Lauren,rice,this morning,at the restaurant,Lauren ate rice this morning at the restaurant.
John,cereal,last Thursday,at the restaurant,John ate cereal last Thursday at the restaurant.
Hannah,wok,one hour ago,at the restaurant,Hannah ate wok one hour ago at the restaurant.
Daniel,steak,last summer,in the kitchen,Daniel ate steak last summer in the kitchen.
Linda,rice,two hours ago,at the cafe,Linda ate rice two hours ago at the cafe.
Mary,hamburger,this weekend,in the kitchen,Mary ate hamburger this weekend in the kitchen.
Ben,rice,this morning,in the park,Ben ate rice this morning in the park.
Rachel,cereal,today,at the school,Rachel ate cereal today at the school.
Sarah,chicken wings,last Sunday,on the rooftop,Sarah ate chicken wings last Sunday on the rooftop.
Robert,cheese,one hour ago,on the rooftop,Robert ate cheese one hour ago on the rooftop.
Rachel,hot dog,last night,at the restaurant,Rachel ate hot dog last night at the restaurant.
Sam,steak,last Wednesday,in the kitchen,Sam ate steak last Wednesday in the kitchen.
Thomas,soup,last Sunday,in the kitchen,Thomas ate soup last Sunday in the kitchen.
Alice,pizza,this weekend,at the restaurant,Alice ate pizza this weekend at the restaurant.
Daniel,tacos,last Tuesday,in the park,Daniel ate tacos last Tuesday in the park.
Joseph,pasta,last spring,in the station,Joseph ate pasta last spring in the station.
Karen,waffles,two hours ago,on the rooftop,Karen ate waffles two hours ago on the rooftop.
Jennifer,beef,last Saturday,in the garden,Jennifer ate beef last Saturday in the garden.
John,carbonara,this evening,in the office,John ate carbonara this evening in the office.
Charles,salad,last Tuesday,on the rooftop,Charles ate salad last Tuesday on the rooftop.
Kimberly,ravioli,last winter,in the park,Kimberly ate ravioli last winter in the park.
Charles,chicken wings,last Thursday,in the kitchen,Charles ate chicken wings last Thursday in the kitchen.
Lauren,cheese,last summer,on the rooftop,Lauren ate cheese last summer on the rooftop.
Anna,steak,yesterday,in the kitchen,Anna ate steak yesterday in the kitchen.
Emily,salad,last year,in the park,Emily ate salad last year in the park.
Elizabeth,pancakes,last summer,in the office,Elizabeth ate pancakes last summer in the office.
Elizabeth,steak,last winter,in the station,Elizabeth ate steak last winter in the station.
Lisa,noodle,last month,at the restaurant,Lisa ate noodle last month at the restaurant.
John,salad,last spring,on the rooftop,John ate salad last spring on the rooftop.
Claire,doughnuts,this weekend,in the park,Claire ate doughnuts this weekend in the park.
Richard,bread,last summer,in the office,Richard ate bread last summer in the office.
Sam,potatoes,last winter,in the office,Sam ate potatoes last winter in the office.
David,bagel,last Saturday,at the restaurant,David ate bagel last Saturday at the restaurant.
Mark,hamburger,last Thursday,at the restaurant,Mark ate hamburger last Thursday at the restaurant.
Daniel,nachos,yesterday,in the station,Daniel ate nachos yesterday in the station.
Jennifer,hamburger,last summer,on the rooftop,Jennifer ate hamburger last summer on the rooftop.
Olivia,chicken wings,one hour ago,at the cafe,Olivia ate chicken wings one hour ago at the cafe.
Ethan,risotto,last Thursday,in the office,Ethan ate risotto last Thursday in the office.
Chris,hot dog,last Friday,in the office,Chris ate hot dog last Friday in the office.
Linda,burrito,last week,at the mall,Linda ate burrito last week at the mall.
Linda,noodle,last Saturday,in the park,Linda ate noodle last Saturday in the park.
Charles,wok,last year,on the rooftop,Charles ate wok last year on the rooftop.
Anna,apple pie,last fall,in the office,Anna ate apple pie last fall in the office.
Anna,curry,last summer,in the park,Anna ate curry last summer in the park.
Lucas,banana,this morning,in the garden,Lucas ate banana this morning in the garden.
Jessica,spaghetti,last Thursday,at the mall,Jessica ate spaghetti last Thursday at the mall.
Karen,cheese,last fall,in the office,Karen ate cheese last fall in the office.
Alice,nachos,last year,in the station,Alice ate nachos last year in the station.
Lucas,tacos,last week,at the mall,Lucas ate tacos last week at the mall.
Chris,lasagna,last week,in the office,Chris ate lasagna last week in the office.
David,burrito,last spring,at the cafe,David ate burrito last spring at the cafe.
James,sushi,lately,in the park,James ate sushi lately in the park.
Robert,beef,one hour ago,in the station,Robert ate beef one hour ago in the station.
William,tacos,last Tuesday,at the restaurant,William ate tacos last Tuesday at the restaurant.
Robert,cereal,last Sunday,at the restaurant,Robert ate cereal last Sunday at the restaurant.
Daniel,falafel,last year,in the garden,Daniel ate falafel last year in the garden.
Hannah,pizza,last month,in the office,Hannah ate pizza last month in the office.
Lauren,ravioli,lately,in the office,Lauren ate ravioli lately in the office.
Joseph,chicken wings,last Sunday,in the garden,Joseph ate chicken wings last Sunday in the garden.
Sophie,risotto,last Thursday,in the kitchen,Sophie ate risotto last Thursday in the kitchen.
Sam,falafel,last Monday,in the garden,Sam ate falafel last Monday in the garden.
Alice,omelette,lately,in the park,Alice ate omelette lately in the park.
Hannah,cake,this morning,at the school,Hannah ate cake this morning at the school.
Lauren,risotto,this morning,in the office,Lauren ate risotto this morning in the office.
Elizabeth,steak,this morning,in the garden,Elizabeth ate steak this morning in the garden.
Matthew,biscuits,last night,in the office,Matthew ate biscuits last night in the office.
Lauren,steak,last spring,at the restaurant,Lauren ate steak last spring at the restaurant.
Elizabeth,fried chicken,this morning,in the kitchen,Elizabeth ate fried chicken this morning in the kitchen.
Jessica,pasta,last fall,in the station,Jessica ate pasta last fall in the station.
Chris,apple pie,last week,at the restaurant,Chris ate apple pie last week at the restaurant.
Claire,waffles,this weekend,at the restaurant,Claire ate waffles this weekend at the restaurant.
Lucas,waffles,this morning,in the kitchen,Lucas ate waffles this morning in the kitchen.
Charles,sushi,last year,in the office,Charles ate sushi last year in the office.
Hannah,curry,last winter,at the mall,Hannah ate curry last winter at the mall.
James,nachos,last month,in the park,James ate nachos last month in the park.
Sophie,beef,this weekend,at the restaurant,Sophie ate beef this weekend at the restaurant.
Emily,pancakes,this afternoon,in the office,Emily ate pancakes this afternoon in the office.
Matthew,pancakes,last winter,at the cafe,Matthew ate pancakes last winter at the cafe.
Hannah,potatoes,last night,in the office,Hannah ate potatoes last night in the office.
Richard,biscuits,this weekend,at the mall,Richard ate biscuits this weekend at the mall.
Lisa,biscuits,last Tuesday,at the restaurant,Lisa ate biscuits last Tuesday at the restaurant.
Linda,burrito,last Sunday,in the kitchen,Linda ate burrito last Sunday in the kitchen.
Jason,falafel,today,at the mall,Jason ate falafel today at the mall.
Hannah,carbonara,last month,at the mall,Hannah ate carbonara last month at the mall.
Mark,tacos,this afternoon,at the mall,Mark ate tacos this afternoon at the mall.
Alice,salad,yesterday,at the cafe,Alice ate salad yesterday at the cafe.
Mark,pasta,today,at the restaurant,Mark ate pasta today at the restaurant.
Sophie,biscuits,last summer,at the mall,Sophie ate biscuits last summer at the mall.
